time	fnum	flen
14:40:00.261	1509	630
14:40:00.262	1511	1190
14:40:00.263	1514	1514
14:40:00.265	1529	1514
14:40:00.267	1537	1514
14:40:00.268	1547	1514
14:40:00.269	1556	630
14:40:00.270	1563	630
14:40:00.271	1578	618
14:40:00.272	1584	1514
14:40:00.274	1589	1514
14:40:00.275	1592	1514
14:40:00.276	1601	1202
14:40:00.277	1604	1514
14:40:00.278	1608	1514
14:40:00.279	1613	62
14:40:00.280	1617	62
14:40:00.281	1620	62
14:40:00.283	1624	62
14:40:00.284	1629	1514
14:40:00.285	1639	1514
14:40:00.286	1647	1202
14:40:00.287	1650	62
14:40:00.288	1657	1514
14:40:00.289	1660	1514
14:40:00.290	1667	1514
14:40:00.291	1670	1514
14:40:00.292	1680	62
14:40:00.293	1685	1514
14:40:00.294	1692	1214
14:40:00.295	1701	62
14:40:00.296	1707	1514
14:40:00.297	1714	1514
14:40:00.298	1725	1202
14:40:00.299	1730	1514
14:40:00.300	1740	62
14:40:00.301	1745	1202
14:40:00.302	1753	62
14:40:00.303	1762	1514
14:40:00.304	1777	630
14:40:00.305	1786	62
14:40:00.306	1797	618
14:40:00.307	1801	62
14:40:00.308	1808	1214
14:40:00.309	1818	1514
14:40:00.311	1821	62
14:40:00.312	1826	1202
14:40:00.313	1827	62
14:40:00.314	1829	1202
14:40:00.315	1832	62
14:40:00.316	1834	1514
14:40:00.317	1840	1514
14:40:00.319	1851	62
14:40:00.320	1856	1214
14:40:00.321	1862	1214
14:40:00.322	1871	1514
14:40:00.323	1879	1202
14:40:00.324	1881	1514
14:40:00.325	1885	1514
14:40:00.326	1890	62
14:40:00.327	1896	62
14:40:00.328	1901	1514
14:40:00.329	1914	1514
14:40:00.330	1917	1514
14:40:00.331	1923	634
14:40:00.332	1930	1514
14:40:00.333	1936	1514
14:40:00.334	1954	1514
14:40:00.335	1971	1514
14:40:00.336	1984	62
14:40:00.337	1995	630
14:40:00.338	1997	1190
14:40:00.339	2000	62
14:40:00.340	2002	62
14:40:00.342	2005	618
14:40:00.343	2006	62
14:40:00.345	2008	1214
14:40:00.346	2011	1214
14:40:00.347	2014	62
14:40:00.348	2021	1514
14:40:00.349	2025	618
14:40:00.351	2032	1514
14:40:00.352	2040	1514
14:40:00.353	2046	1514
14:40:00.354	2055	62
14:40:00.355	2068	430
14:40:00.356	2080	430
14:40:00.357	2088	62
14:40:00.358	2098	62
14:40:00.359	2104	1514
14:40:00.360	2112	1514
14:40:00.361	2115	62
14:40:00.362	2117	1514
14:40:00.363	2126	1514
14:40:00.364	2136	1514
14:40:00.365	2141	62
14:40:00.366	2146	1514
14:40:00.367	2149	1514
14:40:00.369	2159	1202
14:40:00.370	2164	634
14:40:00.371	2170	1514
14:40:00.372	2177	1514
14:40:00.373	2181	62
14:40:00.374	2189	62
14:40:00.375	2190	630
14:40:00.376	2198	446
14:40:00.377	2203	430
14:40:00.378	2212	446
14:40:00.379	2222	62
14:40:00.380	2236	1514
14:40:00.381	2247	62
14:40:00.382	2258	630
14:40:00.383	2259	62
14:40:00.384	2260	630
14:40:00.385	2262	62
14:40:00.386	2264	1202
14:40:00.387	2266	1514
14:40:00.388	2274	1514
14:40:00.389	2284	1214
14:40:00.390	2287	1202
14:40:00.391	2295	62
14:40:00.392	2305	446
14:40:00.393	2310	1514
14:40:00.394	2313	1514
14:40:00.395	2325	1202
14:40:00.396	2337	1514
14:40:00.397	2351	618
14:40:00.398	2361	62
14:40:00.399	2364	1514
14:40:00.400	2378	1230
14:40:00.401	2394	62
14:40:00.402	2397	62
14:40:00.403	2400	1514
14:40:00.404	2404	1514
14:40:00.405	2407	62
14:40:00.406	2410	618
14:40:00.407	2414	62
14:40:00.408	2418	1514
14:40:00.409	2433	630
14:40:00.410	2444	1514
14:40:00.411	2453	62
14:40:00.412	2463	1514
14:40:00.413	2467	1514
14:40:00.414	2472	446
14:40:00.415	2480	430
14:40:00.416	2487	62
14:40:00.417	2492	446
14:40:00.418	2498	1514
14:40:00.419	2504	1514
14:40:00.420	2510	1514
14:40:00.421	2519	618
14:40:00.422	2525	62
14:40:00.423	2537	646
14:40:00.424	2544	446
14:40:00.425	2549	446
14:40:00.426	2551	446
14:40:00.427	2560	634
14:40:00.428	2571	62
14:40:00.429	2576	62
14:40:00.430	2582	1190
14:40:00.431	2583	62
14:40:00.432	2585	1514
14:40:00.433	2588	1514
14:40:00.434	2594	1230
14:40:00.435	2601	634
14:40:00.436	2605	1514
14:40:00.437	2615	430
14:40:00.438	2624	1514
14:40:00.439	2632	1514
14:40:00.440	2645	1514
14:40:00.441	2650	1514
14:40:00.442	2661	446
14:40:00.443	2668	62
14:40:00.444	2674	1514
14:40:00.445	2687	446
